,keyword,title,privious_time,view,video_url,comment,like_count,dislike_count,tag
0,game,"
EXTREME BIKE RACING GAME 2019 #Dirt MotorCycle Race Game #Bike Games 3D For Android #Games To Play
",11:24,26788315,1yEw9E77bPQ,"[""commentCount': '924'}""]",73328,27224,"EXTREME BIKE RACING GAME 2019 #Dirt MotorCycle Race Game #Bike Games 3D For Android #Games To Play

🎊🎆👌💖SHARE PLEASE https://youtu.be/bKynOBdDbT8

DOWNLOAD LINK : https://goo.gl/82Yjwf

Bike Racing 2019 the latest in the world of bike race simulation game. To become a master motorcycle racer, skills matter (a lot). So start practising right now to become a best bike racer. Best Racing game for fun loving bike racers. Get ready for the fantastic and extremely adventurous bike games. Race, jump and crash your way and other mad rivals through the amazing frontier tracks.Control your motorbike with incredible fast speed to win the racing competition!

This real biker racing game will make you to learn, play and win over the competitors. Physics are realistic and you get to choose your bikes / motorbike too, just avoid the obstacles and finish the ride's in time. Turbo Spirit Bike Racing 2018 has fast pace control over the speed and advanced power brakes.

It has best 3D graphics with the motorbikes. You can enjoy the feeling of real based dirt games, stunt like original and accident will also happen so be drive careful. Enjoy very attractive and beautifully designed bike racing tracks.

Ride your Bike through curvy paths on amazing desert roads, mountain off road,and city roads but be careful on dangerous turns. Prove that you are the best bike racer. Experience the excitement and thrill of driving a dirt motorbike through a massive stadium, filled with bumps and jumps. 

Challenging Racing game play with features :

- Free to Play!
- Tons of Amazing Racing Bikes
- Amazing 3D Environment
- Tilt phone to control moto direction
- Tap screen to accelerate
- 3D Stadium with fast racing tracks
- Challenge your facebook friends
- Simple and intuitive bike driving controls
- Fun Unlimited

Bike Games, Bike racing Games, Bike racing, Bike racing game, Bike game, Bike wala game, Bike Games 3D, Bike Games for android, Motorbike games, Bike Games To Play, Android games, Android games to play, Entertaining game channel, Games, Bike race game, Bike race, Game, Android game, Android games 2019, Games 2019, Bike racing game video, Android game, bike game for android, Motorcycle Games, Cycle Games, Cycle wala game, game"
1,game,"
JDG vs TOP - Game 5 | Grand Finals Playoffs LPL Summer 2020 | JD Gaming vs Top Esports G5
",38:56,35745,uWanulrY9Jw,"[""commentCount': '155'}""]",426,19,"lpl finals TOP vs JDG Game 5 Final Playoffs China LPL Summer 2020 - Top Esports vs JD Gaming Game 5 | JDG vs TOP G5 2020 English VOD | JD Gaming vs Top Esports G5 VOD
League of Legends Pro League China LPL Summer 2020 Playoffs.
Fifth match of the day - Top Esports vs JD Gaming best of 5 Game 5. TOP vs JDG G5.

Top Esports Line-up:
369 - Top Jayce
karsa - Jungle Graves
Knight - Mid Syndra
JackeyLove - ADC Ashe
Yuyanjia - Support Leona

JD Gaming Line-up:
Zoom - Top Gnar
Kanavi - Jungle Kidnred 
Yagao - Mid Zoe
Loken - ADC Jhin
LvMao - Support Sett

Patch: 10.16 - Season 10
Game date: 27.08.2020 | 08/27/2020 | August 27th 2020
Game place: china

#LPL #lol #finals
#lolesports #leagueoflegends  #league #vods #epicskillshot #ess 

S10 LPL Summer 2020 Playoffs Playlist: https://bit.ly/33VvkZu



There are more playlists in the playlist section on the channel!

You can always follow all games from both channels and news/updates on my FB page - facebook.com/Epicskillshot
Please like/share/comment and sub if you haven't yet - it helps a lot!

Follow me on Twitter: www.twitter.com/epicskillshot"
2,game,"
[더 본게임 16회] 먹다만 치킨(??)처럼 일시정지됐던 KDDX 그 두 번째 이야기!
",18:12,40630,h8C0Ft2TFG4,"[""commentCount': '198'}""]",2090,32,"지난 시간 KDDX 이야기가…

먹다만 치킨, 굽다만 삼겹살, 끓이다만 찌게, 끊고 나온 화장실 같다구요?

그래서 준비했습니다!

한국형 차기 구축함 KDDX 그 두 번째 이야기~

과연 그 스펙은? 그 무장은? 

베일에 쌓인 KDDX의 속사정~~~~~

지금부터 시자~~~~~~~악 합니다!

#msg#본게임#더본게임"
3,game,"
Bumblebee Multiple Transformation Jet Robot Car Game 2020 - Android Gameplay FHD
",10:02,1960157,pOuW1dDFXxo,"[""commentCount': '215'}""]",7287,2193,"👉 Download=https://play.google.com/store/apps/details?id=com.grand.robot.fight.grand.airjet.robot.epic.transform.car.us.police.army.shooting.battle.games


Feel the thrill of driving robot cars by playing robot Bike shooting games with real robot car transformations into mech warrior robots, robots air jet attack & grand car robot transforming games.Become the last survivor and ruler of the modern city of this Air Jet robot Offline games. To manage the angry Police Bike attack is the real challenge in the Air jet robot car transformation game. Air jet robot game have features of real robot shooting online games, super car robot transforming games in one animal robot survival shooter games. Car robot transformation into air jet robot is realistic enough that makes you the fan of multi robot transformations unlike other free robot games.Enjoy incredible robot car transformation and drive supercar fearlessly in the robot car war.

Jet Robot Car Transformation :Robot Car Games

- Real time robots transform fight & battle mechs
- Robot combos, flying jet car and special machine guns
- Limited Time Events & Robot car shot animation
- Amazing graphics and animations
- Air Jet Robot Car shooting skills.
- City Opponent Robot to Fight!
- Realistic city environment.
- Smooth & easy gameplay.
- Challenging &Thrilling levels
- Upgrade Your Robot with Special Guns
- Incredible Robot Auto car Transforming."
4,game,"
the game that turned my friends against me
",27:47,754691,ouZCDRnGDy8,"[""commentCount': '3874'}""]",50982,261,"There was an impostor Among Us and his name was Ross.

➤ SUBSCRIBE FOR MORE: http://bit.ly/Sub2Alpharad
➤ ALPHARAD MERCH: http://pleasebuymymerch.com
➤ TWITTER: https://twitter.com/alpharad
➤ INSTAGRAM: https://www.instagram.com/alpharad
➤ BECOME A MEMBER (and see early videos): https://www.youtube.com/channel/UCBODyKF0JMbUd6D9Bklyzbw/join

------------------------------------------------

THANK YOU TO ALL OF MY FRIENDS WHO WERE FEATURED IN THIS VIDEO: 
➤ CAPTAIN KIDD: https://www.youtube.com/channel/UCBC9V-25cmvAzniaPZYMSrw
➤ RUBBERROSS: https://www.youtube.com/user/RubberRoss
➤ DEEZUS: https://twitter.com/Deezus_Walks
➤ JOME: https://twitter.com/JomeLaJome
➤ FYRUS: https://www.youtube.com/user/RadicalFyrus
➤ BURGERS: https://twitch.tv/brandonburgers
➤ ALTRIVE: https://www.twitch.tv/altrive
➤ WEEGEETHEGOD: https://twitter.com/WEEGEETHEGOD
➤ CLOBBAH: https://twitter.com/TheClobbahKing
➤ AGONEPLUS: https://www.youtube.com/c/AgOnePlus

------------------------------------------------

EDITED BY:
➤ Ultima: https://twitter.com/UltimaShadowX

THUMBNAIL BY: 
➤ Crystel: http://twitter.com/crystei

➤ Music Used:
Wii Shop Theme: https://www.youtube.com/watch?v=8avMLHvLwRQ
This is Where They Sleep: https://www.youtube.com/watch?v=nE_oDn5ibko
Lychfield Cemetery: https://www.youtube.com/watch?v=DQ4LfpcIqXY
SH3 Save Screen: https://www.youtube.com/watch?v=j3_S4x81sAM
Pressing Pursuit: https://www.youtube.com/watch?v=uocHYbEbWSE
Abe’s Oddyse: https://www.youtube.com/watch?v=9DE_DaPZmFo
Giygas Battle: https://www.youtube.com/watch?v=YYb9kSCkjE8
Creepy Steeple: https://www.youtube.com/watch?v=6WULQgqe5lk
Nighttime: https://www.youtube.com/watch?v=BoXJ_Em_558
Ripple Star Catacombs: https://www.youtube.com/watch?v=029GLL15qig
Mephiles Whisper: https://www.youtube.com/watch?v=AZp-uECYd24
Subspace Area: https://www.youtube.com/watch?v=Lx7OGyraluo
Regenerator: https://www.youtube.com/watch?v=Du59y3lTznk
Ancient Machine: https://www.youtube.com/watch?v=AyPytR7pwBA
Swear to my Bones from Persona 5 (Outro): https://www.youtube.com/watch?v=sYQvx-ZwJc4

#AmongUs #Alpharad #Impostor"
5,game,"
This NEW Anime Game is ACTUALLY Pretty Good! (Exclusive Gameplay)
",13:48,100943,n0mEvBDm3Vo,"[""commentCount': '799'}""]",12572,136,"Captain Tsubasa Rise of New Champions is IT chief! Or at least I think so

~Social Media~

Twitter: https://twitter.com/AfroSenju
Twitch: https://go.twitch.tv/afrosenjutv
Instagram: https://www.instagram.com/afrosenjutv/"
6,game,"
Parking Frenzy 2.0 3D Game #10 - Car Games Android IOS gameplay #carsgames
",5:21,61477520,DSSjGSoFfk0,"[""commentCount': '2104'}""]",175957,74910,"Parking Frenzy 2.0 3D Game #10 - Car Games Android IOS gameplay #carsgames
Oddman Games : gaming channel about Android and IOS games, gameplay, walkthrough and much more..

Download ANDROID : https://play.google.com/store/apps/details?id=com.games2win.parkingfrenzy3d&hl=en
Download IOS : https://itunes.apple.com/us/app/parking-frenzy-3d-simulator/id1190224144?mt=8&ign-mpt=uo%3D4

#android #games #gameplay #gaming #androidgames #letsplay #bestandroidgames

►SUBSCRIBE HERE: https://www.youtube.com/channel/UC0hWgcc02QfOJiSZ24c4uKQ?sub_confirmation=1


♥TWITTER: https://twitter.com/GamesOddman

GAME INFO:
Fasten your seatbelts as here comes another awesome innovation from the makers of a super-hit game, Parking Frenzy 2.0 3D Game!

Drive through narrow lanes & obstacles, beat crazy drivers and reach your parking spot just in time! Put your parking skills to test as you navigate through the city. Remember to complete all achievements by completing the Challenges Mode!
With 75 levels of City Driving and 25 Challenges, along with 15 different cars - it’s surely going to be a ride to remember!
So, get ready to adjust the camera, navigate carefully and park precisely!
Download Parking Frenzy 2.0 3D Game @Games2Win from Google Play Store and let the fun begin!

Parking Frenzy 2.0 3D Game Features: 
A real-life driving and parking experience!
- 75 levels of amazing real-life city driving
- 25 exciting Challenges
- Free Drive to earn extra coins
- 3 different camera views
- Realistic driving mechanics
- 15 different cars to drive 
- Addictive 3D parking game"
7,game,"
EARLY GAME RENEKTON
",9:20,143302,KlMfkL0YNVM,"[""commentCount': '319'}""]",4919,100,"RENEKTON CAN 1v5 YOU IN EARLY GAME!!
THIS IS SO OP!

SUBSCRIBE TO MY BROTHER: https://www.youtube.com/channel/UCXRz...
BUY MERCH HERE! https://represent.com/store/godzu-merch
FOLLOW ME ► Twitch: https://www.twitch.tv/godzuthegod

                       ► Facebook: https://www.facebook.com/GodzuLOL/

1 like= 1 challenger xd
Thank you for watching!

HELP ME GET 500.000 SUBSCRIBERS !"
8,game,"
게임사들도 인정한 미친고인물들 모음
",8:13,48562,TOXZfoW23GU,"[""commentCount': '360'}""]",1274,18,#신용인의게임채널
9,game,"
[게임야화 12화] 공포 그 자체! 제2차 세계대전을 주도 했던 #최강탱크 TOP3 1편
",18:55,20391,TN_7tODGsm4,"[""commentCount': '320'}""]",1549,8,"#인문학 #2차세계대전 #게임야화
매주 화/목 저녁 7시 인문학이 재미있어지는 시간!
게임으로 보는 인문학 : 게임야화 는 @44층 지하던전  구독 댓글 좋아요 ❤ 

0:00 게임야화 새시즌 시작!
1:00  '종군기자' 출신 태상호님 등장!
2:55 탱크 게임의 역사
7:50 탱크의 위용
11:39 2차 세계대전에서의 최강전차 첫번째
17:51 다음이야기 & 이벤트

@허준허튜브 @태상호의 밀리터리톡 @인문채널휴 HUE #이현수
--------------------------------------------------------------
＊44층 지하던전에 찾아와주신 용사님들 환영합니다! 댓글 구독 좋아요♥
＊협찬, 비즈니스 문의: 44dungeon@gmail.com
 * 홈페이지 & SNS모음 링크 https://instalink.at/ogn_live"
